115,5,6786558,58331,hollywood,2010-03-01 09:37:37.870003
60,3,4155174,81639,college,2010-03-01 09:37:41.552118
129,3,2511680,2402,runners,2010-03-01 09:37:51.606303
123,2,117886,58331,racial,2010-03-01 09:38:11.973281
27,7,14560632,58331,december,2010-03-01 09:38:21.632634
7,1,22858322,43997,desktop,2010-03-01 09:38:39.931711
143,3,4558817,58331,prizes,2010-03-01 09:38:41.618619
16,9,16960327,66946,army,2010-03-01 09:38:56.605323
9,1,22858322,43997,application,2010-03-01 09:39:09.429689
0,4,6786558,47818,donald,2010-03-01 09:39:16.457896
31,5,4204282,43997,family,2010-03-01 09:39:20.278880
1,2,14560632,66946,catholic,2010-03-01 09:39:23.654286
28,7,14426763,81691,february,2010-03-01 09:39:38.762692
12,9,6450617,43997,national,2010-03-01 09:39:39.841782
6,3,2526507,81691,sydney,2010-03-01 09:39:58.688643
11,2,17106338,43997,film,2010-03-01 09:40:04.272622
10,4,14311866,47818,german,2010-03-01 09:40:09.312283
53,7,1665971,81691,february,2010-03-01 09:40:19.831098
67,2,1611839,43997,sitcom,2010-03-01 09:40:20.813637
10,6,1853181,43997,england,2010-03-01 09:40:26.405892
132,6,22858322,81691,controversy,2010-03-01 09:40:34.508394
65,2,11551149,81691,church,2010-03-01 09:40:42.712611
108,1,6717166,43997,light,2010-03-01 09:40:42.890785
124,4,22039909,43997,lighthouse,2010-03-01 09:40:57.713754
60,6,6685764,32931,superman,2010-03-01 09:41:02.847841
119,7,22227701,81691,september,2010-03-01 09:41:06.279197
56,3,6241381,81691,motorsport,2010-03-01 09:41:14.714318
74,9,16633147,66946,fox,2010-03-01 09:41:22.165697
44,2,4155174,43997,musical,2010-03-01 09:41:24.972620
2,1,1267927,47818,chemistry,2010-03-01 09:41:25.103355
6,3,1755222,43997,derbyshire,2010-03-01 09:41:38.620600
136,1,2412215,32931,school,2010-03-01 09:41:50.437803
77,6,6685764,81691,human,2010-03-01 09:41:51.207805
30,1,22343988,78672,war,2010-03-01 09:41:53.345486
4,8,4168853,78672,novel,2010-03-01 09:42:18.433989
5,7,3603785,81691,november,2010-03-01 09:42:21.725109
8,9,1183489,66946,battle,2010-03-01 09:42:22.069367
18,5,1778867,78672,doctor,2010-03-01 09:42:46.090676
12,1,14575084,66946,weather,2010-03-01 09:43:06.557290
67,0,6293491,78672,architect,2010-03-01 09:43:29.134007
22,1,16489284,66946,athletics,2010-03-01 09:43:53.468064
3,0,22039909,81691,lighthouse,2010-03-01 09:43:56.521576
14,1,17268801,47818,system,2010-03-01 09:43:57.269144
109,3,6241381,78672,car,2010-03-01 09:44:04.935178
62,9,16832906,40187,war,2010-03-01 09:44:09.644445
1,6,4080088,32931,catholic,2010-03-01 09:44:11.984516
12,0,180683,47818,netherlands,2010-03-01 09:44:39.311379
95,2,4080088,40187,catholic,2010-03-01 09:44:40.950288
18,8,22441116,40187,photographs,2010-03-01 09:44:49.267779
136,1,2428280,78672,intelligence,2010-03-01 09:44:53.103995
31,4,1376598,66946,engine,2010-03-01 09:44:57.003993
17,2,4155174,47818,cathedral,2010-03-01 09:45:29.480628
142,0,2830398,78672,metal,2010-03-01 09:45:43.198788
95,9,1555601,66946,diagnosed,2010-03-01 09:45:52.849162
33,2,11551149,40187,catholic,2010-03-01 09:45:56.438741
40,9,17268801,78672,travel,2010-03-01 09:46:17.029004
120,1,4204282,40187,friends,2010-03-01 09:46:26.888100
8,7,2002702,40187,february,2010-03-01 09:46:33.323717
28,4,14311866,78672,university,2010-03-01 09:46:48.637933
8,2,2624124,66946,music,2010-03-01 09:47:00.096433
119,0,2745973,78672,buildings,2010-03-01 09:47:07.183404
29,5,1993856,40187,human,2010-03-01 09:47:16.062192
138,1,22343988,32931,battle,2010-03-01 09:47:25.775283
96,8,16832906,78672,ownership,2010-03-01 09:47:37.119428
21,1,1916085,40187,history,2010-03-01 09:47:45.915533
116,3,6450617,78672,games,2010-03-01 09:47:57.386239
32,1,2305771,78672,opportunities,2010-03-01 09:48:15.080814
133,1,1194442,40187,time,2010-03-01 09:48:28.706431
47,2,14560632,32931,theology,2010-03-01 09:48:38.126897
100,2,3644983,40187,royal,2010-03-01 09:49:06.898396
53,1,2311927,32931,military,2010-03-01 09:49:43.107364
12,6,6685764,47818,book,2010-03-01 09:50:36.400919
25,1,1134768,43888,school,2010-03-01 09:52:40.014720
13,9,465646,32931,ships,2010-03-01 09:54:15.497564
71,5,1872760,43888,aids,2010-03-01 09:54:22.932049
22,3,4759280,43888,game,2010-03-01 09:55:02.116817
