6,3,5432485,12345,artist,2010-03-03 09:01:33.723470
6,4,11032767,12345,band,2010-03-03 09:01:43.624210
22,5,12685525,11614,actor,2010-03-03 10:23:33.524390
26,2,13939434,11614,mississippi,2010-03-03 10:24:16.457395
9,4,11032767,11614,chicago,2010-03-03 10:24:42.853553
16,8,638656,11614,northeastern,2010-03-03 10:26:45.939931
9,8,562425,11614,london,2010-03-03 10:27:07.687399
6,9,23635555,11614,fictional,2010-03-03 10:27:24.954789
15,5,7464161,11614,entertainment,2010-03-03 10:28:06.659211
112,3,9748961,11614,performances,2010-03-03 10:28:58.430705
133,5,9748961,11614,dance,2010-03-03 10:29:40.516829
7,3,2628610,11614,comics,2010-03-03 10:30:26.661896
139,5,6163066,47028,choir,2010-03-03 10:31:59.043306
13,5,15331657,30141,actress,2010-03-03 10:32:15.008880
25,5,658701,30141,poet,2010-03-03 10:32:35.521575
31,0,13071842,30141,federal,2010-03-03 10:32:47.593087
6,2,14251795,47028,aircraft,2010-03-03 10:32:49.393953
16,8,17246775,30141,british,2010-03-03 10:33:01.304722
11,0,371352,30141,american,2010-03-03 10:33:17.646990
13,8,493957,30141,british,2010-03-03 10:33:31.171036
8,7,14119752,30141,enzyme,2010-03-03 10:34:52.110805
83,7,10918047,30141,chess,2010-03-03 10:36:22.289779
11,8,7151472,30141,mathematician,2010-03-03 10:37:12.028492
10,8,5404384,30141,british,2010-03-03 10:37:17.015254
17,5,11755906,30141,broadcast,2010-03-03 10:37:27.289156
119,8,349530,30141,english,2010-03-03 10:37:47.717920
127,8,7151472,30141,london,2010-03-03 10:38:09.489550
17,8,6011905,35457,holiday,2010-03-03 10:40:21.439164
21,0,13431738,35457,presidential,2010-03-03 10:40:38.999150
122,6,8514238,35457,climbing,2010-03-03 10:41:16.348143
6,1,2909309,865,pittsburgh,2010-03-03 10:41:43.385359
32,3,3080188,35457,historical,2010-03-03 10:42:04.936582
31,9,1881414,865,christian,2010-03-03 10:43:14.696547
10,0,374182,35457,empress,2010-03-03 10:43:54.912758
3,6,1543471,35457,aboriginal,2010-03-03 10:44:37.076063
7,7,14045729,865,enzyme,2010-03-03 10:44:46.185417
1,6,13331845,35457,therapy,2010-03-03 10:44:51.512476
74,8,15089373,865,london,2010-03-03 10:44:58.171807
38,3,9670721,35457,music,2010-03-03 10:45:58.702373
19,6,3783361,865,habsburg,2010-03-03 10:46:04.362933
2,7,1027896,865,chest,2010-03-03 10:46:41.349232
119,9,13992683,35457,church,2010-03-03 10:46:46.297485
7,2,1883693,865,british,2010-03-03 10:47:57.327264
35,9,6971537,29956,correspondent,2010-03-03 10:48:35.502858
14,8,540110,865,hockey,2010-03-03 10:48:44.398650
6,9,585896,865,anime,2010-03-03 10:50:01.021817
13,9,484563,865,charles,2010-03-03 10:50:22.400319
19,6,306749,865,disk,2010-03-03 10:51:16.654078
16,6,486244,865,nigeria,2010-03-03 10:51:28.691802
33,7,581712,865,athletes,2010-03-03 10:52:00.402382
11,3,11755906,6188,broadcast,2010-03-03 10:56:27.518561
30,0,13071842,14206,politician,2010-03-03 10:56:43.255843
12,4,306749,46214,1990s,2010-03-03 10:57:28.050555
110,4,11755906,46214,1993,2010-03-03 10:57:36.419000
63,1,2468775,46214,martin,2010-03-03 10:57:45.226696
9,4,11804735,46214,1937,2010-03-03 10:57:48.416228
6,4,371352,46214,november,2010-03-03 10:57:52.170756
6,1,7151472,95347,december,2010-03-03 10:57:55.198084
48,4,562425,46214,1976,2010-03-03 10:58:01.863371
35,4,13431738,46214,1945,2010-03-03 10:58:05.700216
142,4,1883693,46214,1960s,2010-03-03 10:58:08.802700
22,4,1883693,46214,1983,2010-03-03 10:58:22.861133
134,4,1970126,46214,1941,2010-03-03 10:58:56.781778
35,2,1883693,46214,navy,2010-03-03 10:59:04.817425
34,9,7151472,27705,college,2010-03-03 10:59:10.909562
141,4,678280,82083,1978,2010-03-03 10:59:22.986749
26,4,6011905,82083,july,2010-03-03 10:59:27.713943
6,4,5404384,82083,1926,2010-03-03 10:59:36.348129
23,0,13995,14206,machines,2010-03-03 10:59:39.552790
142,4,658701,82083,220,2010-03-03 10:59:40.511243
58,4,9670721,82083,1999,2010-03-03 10:59:46.432901
29,4,6011905,82083,2007,2010-03-03 10:59:50.907392
66,4,8514238,82083,300,2010-03-03 10:59:58.863596
9,4,658701,82083,september,2010-03-03 11:00:02.239140
22,9,11755906,27705,educational,2010-03-03 11:00:06.539712
35,7,14045729,82083,enzyme,2010-03-03 11:00:14.039172
4,2,6971537,27705,transliterated,2010-03-03 11:00:14.856499
110,3,9670721,14206,artistic,2010-03-03 11:00:15.014531
73,4,11612233,82083,1983,2010-03-03 11:00:17.905853
106,0,23612132,95347,pakistan,2010-03-03 11:00:22.501476
77,4,9429939,82083,1980s,2010-03-03 11:00:43.846804
130,3,11032767,95347,producer,2010-03-03 11:00:53.671371
6,4,10918047,1764,1891,2010-03-03 11:01:20.200417
17,6,1027896,6188,males,2010-03-03 11:01:38.019838
11,9,540110,27705,retired,2010-03-03 11:01:39.294401
8,5,9748961,27705,performing,2010-03-03 11:01:48.951012
71,4,678280,1764,1966,2010-03-03 11:01:51.763111
138,8,3917434,95347,college,2010-03-03 11:01:58.831108
75,4,8139421,1764,1999,2010-03-03 11:02:08.586021
32,0,13071842,27705,political,2010-03-03 11:02:09.387258
24,1,540110,14206,hockey,2010-03-03 11:02:10.290994
35,5,19674406,27705,names,2010-03-03 11:02:20.482638
133,4,17246775,1764,iii,2010-03-03 11:02:23.263255
114,4,2502990,1764,1924,2010-03-03 11:02:26.834162
9,4,15120380,1764,september,2010-03-03 11:02:30.472476
3,4,570557,1764,1957,2010-03-03 11:02:34.431994
75,4,15439159,1764,2008,2010-03-03 11:02:37.632414
62,4,6163066,47091,1976,2010-03-03 11:02:57.787671
7,9,2956315,27705,accepted,2010-03-03 11:03:00.235156
7,2,8514238,6188,country,2010-03-03 11:03:02.577357
33,4,9441769,47091,2006,2010-03-03 11:03:07.489574
